date,actual_occupied,predicted_empty_probability,recommend_empty_stable
2019-02-02 00:15:00-08:00,0.0,0.3703704,False
2019-02-02 00:30:00-08:00,0.0,0.3333333,False
2019-02-02 00:45:00-08:00,0.0,0.3333333,False
2019-02-02 01:00:00-08:00,0.0,0.3333333,False
2019-02-02 01:15:00-08:00,0.0,0.4074074,False
2019-02-02 01:30:00-08:00,0.0,0.4074074,False
2019-02-02 01:45:00-08:00,0.0,0.4074074,False
2019-02-02 02:00:00-08:00,0.0,0.3333333,False
2019-02-02 02:15:00-08:00,0.0,0.3333333,False
2019-02-02 02:30:00-08:00,0.0,0.3703704,False
2019-02-02 02:45:00-08:00,0.0,0.4814815,False
2019-02-02 03:00:00-08:00,0.0,0.7407408,False
2019-02-02 03:15:00-08:00,0.0,0.7777778,False
2019-02-02 03:30:00-08:00,0.0,0.8518518,False
2019-02-02 03:45:00-08:00,0.0,0.962963,False
2019-02-02 04:00:00-08:00,0.0,0.8888889,False
2019-02-02 04:15:00-08:00,0.0,0.962963,False
2019-02-02 04:30:00-08:00,0.0,0.9259259,False
2019-02-02 04:45:00-08:00,0.0,0.962963,True
2019-02-02 05:00:00-08:00,0.0,0.962963,True
2019-02-02 05:15:00-08:00,0.0,0.962963,True
2019-02-02 05:30:00-08:00,0.0,0.962963,True
2019-02-02 05:45:00-08:00,0.0,0.962963,True
2019-02-02 06:00:00-08:00,0.0,0.9259259,False
2019-02-02 06:15:00-08:00,0.0,0.9259259,False
2019-02-02 06:30:00-08:00,0.0,0.962963,False
2019-02-02 06:45:00-08:00,0.0,0.962963,False
2019-02-02 07:00:00-08:00,0.0,0.9259259,False
2019-02-02 07:15:00-08:00,0.0,0.9259259,False
2019-02-02 07:30:00-08:00,0.0,0.8888889,False
2019-02-02 07:45:00-08:00,0.0,0.8518518,False
2019-02-02 08:00:00-08:00,1.0,0.7407408,False
2019-02-02 08:15:00-08:00,1.0,0.7037037,False
2019-02-02 08:30:00-08:00,1.0,0.6666666,False
2019-02-02 08:45:00-08:00,1.0,0.6666666,False
2019-02-02 09:00:00-08:00,1.0,0.6666666,False
2019-02-02 09:15:00-08:00,1.0,0.6666666,False
2019-02-02 09:30:00-08:00,1.0,0.5925926,False
2019-02-02 09:45:00-08:00,1.0,0.5185185,False
2019-02-02 10:00:00-08:00,1.0,0.5925926,False
2019-02-02 10:15:00-08:00,1.0,0.6666666,False
2019-02-02 10:30:00-08:00,0.0,0.7037037,False
2019-02-02 10:45:00-08:00,0.0,0.6296296,False
2019-02-02 11:00:00-08:00,0.0,0.6666666,False
2019-02-02 11:15:00-08:00,0.0,0.5925926,False
2019-02-02 11:30:00-08:00,0.0,0.5925926,False
2019-02-02 11:45:00-08:00,0.0,0.6296296,False
2019-02-02 12:00:00-08:00,0.0,0.6296296,False
2019-02-02 12:15:00-08:00,0.0,0.6666666,False
2019-02-02 12:30:00-08:00,0.0,0.6296296,False
2019-02-02 12:45:00-08:00,0.0,0.6296296,False
2019-02-02 13:00:00-08:00,0.0,0.5925926,False
2019-02-02 13:15:00-08:00,0.0,0.5555556,False
2019-02-02 13:30:00-08:00,0.0,0.5925926,False
2019-02-02 13:45:00-08:00,0.0,0.5925926,False
2019-02-02 14:00:00-08:00,0.0,0.5925926,False
2019-02-02 14:15:00-08:00,0.0,0.5185185,False
2019-02-02 14:30:00-08:00,0.0,0.6296296,False
