split,model,risk_delta,empty_probability_threshold,load_assumption,load_assumption_description,gross_recommended_estimated_opportunity_kwh,safe_estimated_opportunity_kwh,conflict_estimated_kwh,available_actual_empty_estimated_opportunity_kwh,energy_formula,counterfactual_status
test_daily,DLinear,0.1,0.875,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,157.52862548828125,62.67156219482422,94.85706329345703,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.2,0.8,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,283.4991455078125,84.99886322021484,198.50027465820312,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.05,0.9,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,35.423404693603516,33.45363998413086,1.9697654247283936,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.1,0.9,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,35.423404693603516,33.45363998413086,1.9697654247283936,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.2,0.85,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,100.58219909667969,95.28691101074219,5.295294284820557,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.05,0.95,lighting_only_full,Lighting south at 100% metered kW,12.54529857635498,12.54529857635498,0.0,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.1,0.95,lighting_only_full,Lighting south at 100% metered kW,12.54529857635498,12.54529857635498,0.0,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.2,0.725,lighting_only_full,Lighting south at 100% metered kW,129.2359161376953,113.60337829589844,15.632543563842773,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.05,0.95,lighting_only_full,Lighting south at 100% metered kW,54.23609161376953,51.64129638671875,2.594791889190674,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.1,0.95,lighting_only_full,Lighting south at 100% metered kW,54.23609161376953,51.64129638671875,2.594791889190674,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.2,0.875,lighting_only_full,Lighting south at 100% metered kW,106.81208038330078,97.86495971679688,8.947125434875488,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.05,0.925,lighting_only_full,Lighting south at 100% metered kW,55.11404037475586,53.914119720458984,1.1999166011810303,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.1,0.925,lighting_only_full,Lighting south at 100% metered kW,55.11404037475586,53.914119720458984,1.1999166011810303,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.2,0.85,lighting_only_full,Lighting south at 100% metered kW,99.7356185913086,93.0309066772461,6.704708576202393,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.05,0.925,lighting_only_full,Lighting south at 100% metered kW,24.27295684814453,12.545833587646484,11.72712516784668,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.1,0.875,lighting_only_full,Lighting south at 100% metered kW,62.13858413696289,14.290416717529297,47.848167419433594,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.2,0.8,lighting_only_full,Lighting south at 100% metered kW,143.89141845703125,17.09166717529297,126.79975128173828,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.05,0.9,lighting_only_full,Lighting south at 100% metered kW,9.927499771118164,8.443750381469727,1.4837499856948853,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.1,0.9,lighting_only_full,Lighting south at 100% metered kW,9.927499771118164,8.443750381469727,1.4837499856948853,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.2,0.85,lighting_only_full,Lighting south at 100% metered kW,17.702499389648438,15.201250076293945,2.5012497901916504,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.05,0.95,hvac_only_conservative,30% HVAC south controllable,24.62332534790039,24.62332534790039,0.0,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.1,0.95,hvac_only_conservative,30% HVAC south controllable,24.62332534790039,24.62332534790039,0.0,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.2,0.725,hvac_only_conservative,30% HVAC south controllable,397.927490234375,342.23846435546875,55.68904113769531,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.05,0.95,hvac_only_conservative,30% HVAC south controllable,145.0926513671875,132.6845703125,12.408089637756348,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.1,0.95,hvac_only_conservative,30% HVAC south controllable,145.0926513671875,132.6845703125,12.408089637756348,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.2,0.875,hvac_only_conservative,30% HVAC south controllable,275.86077880859375,246.17764282226562,29.683151245117188,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.05,0.925,hvac_only_conservative,30% HVAC south controllable,104.16747283935547,91.68794250488281,12.479537010192871,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.1,0.925,hvac_only_conservative,30% HVAC south controllable,104.16747283935547,91.68794250488281,12.479537010192871,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.2,0.85,hvac_only_conservative,30% HVAC south controllable,207.5417022705078,183.77565002441406,23.76604652404785,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.05,0.925,hvac_only_conservative,30% HVAC south controllable,56.261634826660156,28.388275146484375,27.87335777282715,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.1,0.875,hvac_only_conservative,30% HVAC south controllable,107.8177490234375,51.239227294921875,56.578529357910156,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.2,0.8,hvac_only_conservative,30% HVAC south controllable,168.38601684570312,71.32553100585938,97.06048583984375,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.05,0.9,hvac_only_conservative,30% HVAC south controllable,27.481407165527344,26.698640823364258,0.7827653884887695,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.1,0.9,hvac_only_conservative,30% HVAC south controllable,27.481407165527344,26.698640823364258,0.7827653884887695,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
