model,positive_class,recall_empty,precision_empty,f1_empty,auroc_empty,auprc_empty,brier_empty,log_loss_empty,fold,train_boundary,validation_end,validation_anchors
Historical average,empty,0.8991324963629506,0.5166333844177154,0.6562128257813344,0.916957812580893,0.7764374602123316,0.12876124680042267,0.3823506137538878,1,2018-10-01 00:00:00-07:00,2018-10-22 00:00:00-07:00,1729
LightGBM,empty,0.9173985667331214,0.5600289454641142,0.6954923306305019,0.9353687444495197,0.8198305560307685,0.12939117213021514,0.3950171319188908,1,2018-10-01 00:00:00-07:00,2018-10-22 00:00:00-07:00,1729
Random forest,empty,0.8769599655153834,0.5620381241798467,0.685039038659848,0.9230212401640072,0.7722114895636838,0.125357004321558,0.38418717267588876,1,2018-10-01 00:00:00-07:00,2018-10-22 00:00:00-07:00,1729
Historical average,empty,0.8326972626358511,0.7587466902030009,0.794003823809216,0.8984960548039874,0.8183995798146533,0.11112982779741287,0.3698974078749065,2,2018-10-29 00:00:00-07:00,2018-11-18 23:00:00-08:00,1729
LightGBM,empty,0.8208992812723998,0.7699603881237054,0.7946143099584634,0.9001263444157268,0.8289075745960943,0.10571614283813428,0.3815750531762888,2,2018-10-29 00:00:00-07:00,2018-11-18 23:00:00-08:00,1729
Random forest,empty,0.7862027547995893,0.754583317838682,0.7700685951746188,0.8945680010961331,0.8034466550307142,0.11275302835831455,0.39493760026449387,2,2018-10-29 00:00:00-07:00,2018-11-18 23:00:00-08:00,1729
Historical average,empty,0.7927072304913745,0.4858669720393167,0.6024683761492858,0.8871439631946508,0.6849544415250644,0.1281328946352005,0.3945649912613645,3,2018-11-26 00:00:00-08:00,2018-12-17 00:00:00-08:00,1729
LightGBM,empty,0.8180855701563181,0.5656217705821563,0.6688220768310379,0.8991166545421944,0.7367068488082604,0.11639752929755202,0.37550235224901635,3,2018-11-26 00:00:00-08:00,2018-12-17 00:00:00-08:00,1729
Random forest,empty,0.8363019243943451,0.5520565684803388,0.6650817824994119,0.909466594247498,0.7264614904462676,0.11829527830091244,0.3749898155955788,3,2018-11-26 00:00:00-08:00,2018-12-17 00:00:00-08:00,1729
