model,policy,risk_delta,load_variable_used,load_type,controllability_scenario,controllable_fraction,gross_shiftable_load_kwh,safe_shiftable_load_kwh,kwh_per_day,kwh_per_safe_window,occupancy_conflict_rate,counterfactual_status
Random forest,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,100.58473867575,89.88514597681251,2.0903522320188954,12.840735139544645,0.05319148936170213,"safe shiftable-load opportunity, not verified energy savings"
Random forest,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,791.5412335102501,705.616376584,16.409683176372095,70.5616376584,0.06976744186046512,"safe shiftable-load opportunity, not verified energy savings"
Random forest,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,395.77061675512505,352.808188292,8.204841588186047,35.2808188292,0.06976744186046512,"safe shiftable-load opportunity, not verified energy savings"
Random forest,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,197.88530837756252,176.404094146,4.102420794093024,17.6404094146,0.06976744186046512,"safe shiftable-load opportunity, not verified energy savings"
DLinear,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,211.81172832299998,107.1734133875,2.4924049625,53.58670669375,0.32967032967032966,"safe shiftable-load opportunity, not verified energy savings"
DLinear,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,105.90586416149999,53.58670669375,1.24620248125,26.793353346875,0.32967032967032966,"safe shiftable-load opportunity, not verified energy savings"
DLinear,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,52.952932080749996,26.793353346875,0.623101240625,13.3966766734375,0.32967032967032966,"safe shiftable-load opportunity, not verified energy savings"
DLinear,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,421.53109268625,185.0878424105,4.304368428151163,61.695947470166665,0.43870967741935485,"safe shiftable-load opportunity, not verified energy savings"
DLinear,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,210.765546343125,92.54392120525,2.1521842140755814,30.847973735083333,0.43870967741935485,"safe shiftable-load opportunity, not verified energy savings"
DLinear,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,105.3827731715625,46.271960602625,1.0760921070377907,15.423986867541666,0.43870967741935485,"safe shiftable-load opportunity, not verified energy savings"
DLinear,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,705.1781252265,254.84342862750003,5.926591363430234,63.71085715687501,0.5526315789473685,"safe shiftable-load opportunity, not verified energy savings"
DLinear,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,352.58906261325,127.42171431375002,2.963295681715117,31.855428578437504,0.5526315789473685,"safe shiftable-load opportunity, not verified energy savings"
DLinear,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,176.294531306625,63.71085715687501,1.4816478408575584,15.927714289218752,0.5526315789473685,"safe shiftable-load opportunity, not verified energy savings"
Transformer,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,101.53218494,97.43921710375,2.266028304738372,97.43921710375,0.0967741935483871,"safe shiftable-load opportunity, not verified energy savings"
Transformer,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,50.76609247,48.719608551875,1.133014152369186,48.719608551875,0.0967741935483871,"safe shiftable-load opportunity, not verified energy savings"
Transformer,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,25.383046235,24.3598042759375,0.566507076184593,24.3598042759375,0.0967741935483871,"safe shiftable-load opportunity, not verified energy savings"
Transformer,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,101.53218494,97.43921710375,2.266028304738372,97.43921710375,0.0967741935483871,"safe shiftable-load opportunity, not verified energy savings"
Transformer,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,50.76609247,48.719608551875,1.133014152369186,48.719608551875,0.0967741935483871,"safe shiftable-load opportunity, not verified energy savings"
Transformer,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,25.383046235,24.3598042759375,0.566507076184593,24.3598042759375,0.0967741935483871,"safe shiftable-load opportunity, not verified energy savings"
Transformer,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,305.76981900600003,292.2875881835,6.797385771709303,48.71459803058334,0.058823529411764705,"safe shiftable-load opportunity, not verified energy savings"
Transformer,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,152.88490950300002,146.14379409175,3.3986928858546515,24.35729901529167,0.058823529411764705,"safe shiftable-load opportunity, not verified energy savings"
Transformer,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,76.44245475150001,73.071897045875,1.6993464429273257,12.178649507645835,0.058823529411764705,"safe shiftable-load opportunity, not verified energy savings"
