split,model,policy,positive_class,empty_probability_threshold,minimum_empty_window_hours,predicted_empty_window_count,true_empty_window_count,safe_predicted_window_count,conflict_predicted_window_count,window_level_precision,window_level_recall,window_level_occupancy_conflict_rate,average_detected_window_duration_hours,double_counting_policy
validation_daily,Historical average,threshold_sweep,empty,0.725,1.0,49,44,28,21,0.5714285714285714,0.8181818181818182,0.42857142857142855,3.0918367346938775,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.75,1.0,39,44,27,12,0.6923076923076923,0.7954545454545454,0.3076923076923077,3.358974358974359,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.775,1.0,39,44,27,12,0.6923076923076923,0.7954545454545454,0.3076923076923077,3.358974358974359,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.8,1.0,44,44,32,12,0.7272727272727273,0.7954545454545454,0.2727272727272727,2.397727272727273,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.825,1.0,33,44,24,9,0.7272727272727273,0.6590909090909091,0.2727272727272727,2.515151515151515,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.85,1.0,33,44,24,9,0.7272727272727273,0.6590909090909091,0.2727272727272727,2.515151515151515,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.875,1.0,27,44,20,7,0.7407407407407407,0.5227272727272727,0.25925925925925924,2.638888888888889,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.9,1.0,11,44,9,2,0.8181818181818182,0.25,0.18181818181818182,3.590909090909091,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.925,1.0,11,44,9,2,0.8181818181818182,0.25,0.18181818181818182,3.590909090909091,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.95,1.0,11,44,10,1,0.9090909090909091,0.22727272727272727,0.09090909090909091,1.3636363636363635,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.05,2.0,55,38,2,53,0.03636363636363636,0.9473684210526315,0.9636363636363636,11.540909090909091,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.075,2.0,67,38,2,65,0.029850746268656716,0.9473684210526315,0.9701492537313433,8.235074626865671,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.1,2.0,67,38,2,65,0.029850746268656716,0.9473684210526315,0.9701492537313433,7.936567164179104,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.125,2.0,50,38,3,47,0.06,0.9473684210526315,0.94,8.865,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.15,2.0,44,38,3,41,0.06818181818181818,0.9473684210526315,0.9318181818181818,9.630681818181818,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.175,2.0,44,38,4,40,0.09090909090909091,0.9473684210526315,0.9090909090909091,9.602272727272727,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.2,2.0,39,38,3,36,0.07692307692307693,0.9210526315789473,0.9230769230769231,10.544871794871796,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.225,2.0,39,38,3,36,0.07692307692307693,0.9210526315789473,0.9230769230769231,10.506410256410257,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.25,2.0,39,38,3,36,0.07692307692307693,0.9210526315789473,0.9230769230769231,10.506410256410257,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.275,2.0,39,38,3,36,0.07692307692307693,0.9210526315789473,0.9230769230769231,10.166666666666666,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.3,2.0,39,38,3,36,0.07692307692307693,0.9210526315789473,0.9230769230769231,10.051282051282051,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.325,2.0,39,38,3,36,0.07692307692307693,0.9210526315789473,0.9230769230769231,10.051282051282051,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.35,2.0,45,38,6,39,0.13333333333333333,0.8947368421052632,0.8666666666666667,8.011111111111111,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.375,2.0,39,38,11,28,0.28205128205128205,0.8947368421052632,0.717948717948718,8.397435897435898,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.4,2.0,39,38,11,28,0.28205128205128205,0.8947368421052632,0.717948717948718,8.397435897435898,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.425,2.0,39,38,11,28,0.28205128205128205,0.8947368421052632,0.717948717948718,8.217948717948717,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.45,2.0,39,38,13,26,0.3333333333333333,0.8947368421052632,0.6666666666666666,7.3076923076923075,non-overlapping daily forecast anchors and disjoint run extraction
