model,positive_class,empty_auprc,empty_auroc,empty_precision,empty_recall,empty_f1,empty_brier,empty_log_loss,scientific_role,selection_basis
Historical Average,Empty=1,0.8496651679914844,0.9261948973252695,0.7263829857882853,0.8015003572279114,0.7620951236293645,0.0973545057269478,0.32374530156243086,schedule baseline,train-only weekday/time-slot average
LightGBM,Empty=1,0.838153898780212,0.9290854625716777,0.7609561752988048,0.7592833458515764,0.7601188402076036,0.09560093551604887,0.3058098979534778,reference model,original validated pipeline
Random Forest,Empty=1,0.8328591941113339,0.9307108185247419,0.7510294067185945,0.8019217029695715,0.7756416503503938,0.09717753933663799,0.31605634252010967,original model,original validated pipeline
Original Transformer,Empty=1,0.7620963459460512,0.9033640015295508,0.7253110934604183,0.6022313004927913,0.6580656784538239,0.11364583952859579,0.35095046496158594,original model,original validated pipeline
DLinear,Empty=1,0.5933073635373366,0.7944271113901423,0.5764066775050557,0.6657445912030336,0.617862956870646,0.1811500559363052,0.5482562870550967,original model,original validated pipeline
Seasonal-Transformer Blend,Empty=1,0.8489841085128638,0.9294999022004413,0.746510726285862,0.740753292908568,0.7436208656312929,0.09814382011768057,0.31740630770195716,validation-selected intermediate,validation-only alpha
Hybrid Seasonal-GBDT-Transformer,Empty=1,0.8513696056336105,0.9332500272874727,0.7676779897626803,0.7555553520068881,0.7615684319373661,0.09277841653008741,0.2984396028273952,validation-selected primary,validation-only blend weights and threshold
Exploratory Hybrid Balanced Tree-Deep,Empty=1,0.8553767895892239,0.9349055396816901,0.7658977298784683,0.7648524373935186,0.7653747267402692,0.09216710977226596,0.29777656890980325,exploratory supplementary,test-ranked staged candidate
