model,positive_class,recall_empty,precision_empty,f1_empty,auroc_empty,auprc_empty,brier_empty,log_loss_empty
Historical average,empty,0.8015003572279114,0.7263829857882853,0.7620951236293645,0.9261948973252695,0.8496651679914844,0.09735449403524399,0.32374530366305154
LightGBM,empty,0.7592833458515764,0.7609561752988048,0.7601188402076036,0.9290854625716777,0.838153898780212,0.09560093551604887,0.3058098979534778
Random forest,empty,0.8019217029695715,0.7510294067185945,0.7756416503503938,0.9307108185247419,0.8328591941113339,0.09717753933663799,0.3160563425201097
Transformer,empty,0.6022313004927913,0.7253110934604183,0.6580656784538239,0.9033640015295508,0.7620963459460512,0.11364582180976868,0.3509504649205253
DLinear,empty,0.6657445912030336,0.5764066775050557,0.617862956870646,0.7944271113901423,0.5933073635373366,0.18115003407001495,0.5482562870967463
