model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count
Historical average,fixed_default_threshold,0.65,4,0.21414728682170542,0.14108982381823434,0.04204290355664891,0.34625460274424313,0.8589101761817657,0.6537453972557569,83096,11724
LightGBM,fixed_default_threshold,0.65,4,0.22495051954477982,0.17991018238474935,0.05631540066987499,0.3443127484565922,0.8200898176152507,0.6556872515434078,87288,15704
Transformer,fixed_default_threshold,0.65,4,0.1254123371268349,0.19630527700147954,0.034257579126293666,0.6417553629985161,0.8036947229985205,0.35824463700148385,48664,9553
Random forest,fixed_default_threshold,0.65,4,0.2303057479795481,0.20985609739722041,0.06725286705061358,0.3532159671716709,0.7901439026027796,0.6467840328283291,89366,18754
DLinear,fixed_default_threshold,0.65,4,0.22090703859475508,0.35682870775440684,0.10968665055332821,0.4950079689303314,0.6431712922455931,0.5049920310696686,85719,30587
