model,weights,blend_level,score_interpretation,weight_selection,scientific_role,test_empty_auprc
Seasonal-Transformer Blend,Historical Average=0.54; Original Transformer=0.46,uncalibrated Empty-class score,bounded score; no fitted calibrator,"validation AUPRC grid, step=0.01",saved-output validation-selected intermediate; post-bin only,0.8489841085128638
Hybrid Seasonal-GBDT-Transformer,Historical Average=0.15; LightGBM=0.60; Original Transformer=0.25,uncalibrated Empty-class score,bounded score; no fitted calibrator,"validation AUPRC simplex grid, step=0.05",saved-output validation-selected primary hybrid; post-bin only,0.8513696056336105
Exploratory Hybrid Balanced Tree-Deep,Historical Average=0.20; LightGBM=0.50; Random Forest=0.10; Original Transformer=0.20,uncalibrated Empty-class score,bounded score; no fitted calibrator,staged shortlist; retained because it was test-best,supplementary/test-ranked saved-output diagnostic; not a selected policy,0.8553767895892239
