model,positive_class,recall_empty,precision_empty,f1_empty,auroc_empty,auprc_empty,brier_empty,log_loss_empty,ablation_group,feature_count,training_time_seconds,note
LightGBM ablation,empty,0.8485720043233737,0.66926739053481,0.7483289377496496,0.9191234010087281,0.8344545691256617,0.11073899446251706,0.35453691275541405,Time-only,10,5.094510793685913,
LightGBM ablation,empty,0.7383259750490043,0.5158949086370764,0.6073868110421635,0.7972545069884995,0.6167133269096517,0.17969417741419308,0.5399503536152863,Past occupancy-only,12,4.905726194381714,
LightGBM ablation,empty,0.8415282026856211,0.7366754067338609,0.7856186962079978,0.9298055106378871,0.832301050608232,0.09760244459447515,0.31586381023641824,Past occupancy + time,22,7.024348974227905,
LightGBM ablation,empty,0.7685804312382069,0.7330089454189671,0.7503733578959606,0.9222708734413791,0.8233415554696055,0.10109520269239472,0.3200507528771149,Past occupancy + time + causal sensors,30,8.621830224990845,
LightGBM ablation,empty,0.7685804312382069,0.7330089454189671,0.7503733578959606,0.9222708734413791,0.8233415554696055,0.10109520269239472,0.3200507528771149,Electricity/load removed,30,8.598705530166626,load-removed is already the main setting; load variables are absent from model features.
