model,scientific_role,selected_threshold,validation_conflict_rate,occupancy_conflict_rate,safe_opportunity_kwh,recommended_intervals,safe_intervals,conflict_intervals,recommendation_coverage,recommended_windows,safe_windows,conflict_windows,average_recommended_window_hours,opportunity_per_day_kwh,daily_schedules,selection_met_constraint
Historical Average,schedule baseline,0.95,0.08333333333333333,0.0,94.623047827,66,66,0,0.015988372093023256,12,12,0,1.375,2.200535995976744,43,True
LightGBM,reference model,0.95,0.0960960960960961,0.04150943396226415,493.9231551775,265,254,11,0.06419573643410853,19,16,3,3.486842105263158,11.486585004127907,43,True
Random Forest,original model,0.925,0.04201680672268908,0.05319148936170213,359.54058390725004,188,178,10,0.045542635658914726,10,7,3,4.7,8.361408928075582,43,True
Original Transformer,original model,0.9,0.02197802197802198,0.0967741935483871,97.43921710375,31,28,3,0.0075096899224806205,2,1,1,3.875,2.266028304738372,43,True
DLinear,original model,0.875,0.07547169811320754,0.43870967741935485,185.0878424105,155,87,68,0.0375484496124031,7,3,4,5.535714285714286,4.304368428151163,43,True
Seasonal-Transformer Blend,validation-selected intermediate,0.8,0.08527131782945736,0.0,457.8951735925,249,249,0,0.06031976744186047,14,14,0,4.446428571428571,10.648724967267441,43,True
Hybrid Seasonal-GBDT-Transformer,validation-selected primary,0.875,0.08745247148288973,0.0,490.1463795264999,259,259,0,0.0627422480620155,14,14,0,4.625,11.398753012244184,43,True
Exploratory Hybrid Balanced Tree-Deep,exploratory supplementary,0.875,0.08139534883720931,0.0,446.5471032095,256,256,0,0.06201550387596899,14,14,0,4.571428571428571,10.384816353709303,43,True
