model,positive_class,recall_empty,precision_empty,f1_empty,auroc_empty,auprc_empty,brier_empty,log_loss_empty
Hybrid balanced tree-deep,empty,0.7648524373935186,0.7658977298784683,0.7653747267402693,0.9349055396816901,0.8553767895892238,0.09216710977226596,0.29777656890980325
Hybrid tree-seasonal,empty,0.7803872716947259,0.7573828784780869,0.7687130070737693,0.93516696297306,0.8544131346049536,0.09168954754307182,0.2963914790753943
Hybrid Seasonal-GBDT-Transformer,empty,0.7555553520068881,0.7676779897626803,0.761568431937366,0.9332500272874727,0.8513696056336104,0.09277841653008742,0.2984396028273952
Historical average,empty,0.8015003572279114,0.7263829857882853,0.7620951236293644,0.9261948973252695,0.8496651679914844,0.0973545057269478,0.32374530156243086
Seasonal-Transformer blend,empty,0.740753292908568,0.746510726285862,0.7436208656312929,0.9294999022004413,0.8489841085128639,0.09814382011768057,0.31740630770195716
LightGBM,empty,0.7592833458515764,0.7609561752988048,0.7601188402076036,0.9290854625716777,0.8381538987802121,0.09560093551604887,0.3058098979534778
Transformer,empty,0.6022313004927913,0.7253110934604183,0.6580656784538238,0.9033640015295508,0.7620963459460515,0.11364583952859579,0.35095046496158594
