test_occupancy_conflict_rate,model,threshold,recommendation_rate,empty_recall,safe_shiftable_load_kwh,kwh_per_day,pareto_frontier
0.0,Historical average,0.925,0.0421511627906976,0.1517000871839581,249.14667954175,5.794108826552326,True
0.0345911949685534,Historical average,0.875,0.0770348837209302,0.2676547515257192,569.24315726975,13.238212959761627,True
0.0355191256830601,Historical average,0.85,0.0886627906976744,0.3077593722755013,658.0464069175,15.303404812034884,True
0.0578158458244111,Historical average,0.8,0.1131298449612403,0.3836094158674804,867.9304711660001,20.184429562,True
0.0612244897959183,Historical average,0.775,0.1424418604651162,0.4812554489973845,1087.952718521,25.30122601211628,True
0.0911764705882352,Historical average,0.725,0.1647286821705426,0.5387968613775065,1254.39810839375,29.172049032412797,True
0.1221662468513853,Historical average,0.7,0.1923449612403101,0.6076721883173496,1351.4541455,31.429166174418608,True
0.1301204819277108,Historical average,0.675,0.2010658914728682,0.6294681778552746,1435.8299310955,33.391393746406976,True
0.1410550458715596,Historical average,0.65,0.2112403100775193,0.6530078465562337,1478.2729653867502,34.37844105550582,True
0.1778242677824267,Historical average,0.625,0.2315891472868217,0.6852659110723627,1548.5913947080005,36.013753365302335,True
0.1953907815631262,Historical average,0.575,0.2417635658914728,0.7000871839581517,1575.6081575857502,36.6420501764128,True
0.2392086330935252,Historical average,0.55,0.2693798449612403,0.7375762859633828,1638.2296384319998,38.09836368446511,True
0.2423971377459749,Historical average,0.525,0.2708333333333333,0.7384481255448997,1638.26297176525,38.09913887826163,True
0.2478991596638655,Historical average,0.5,0.2882751937984496,0.7802964254577158,1769.8380240247498,41.15902381452906,True
0.2922848664688427,Historical average,0.475,0.3265503875968992,0.8317349607672189,1858.6172271665,43.22365644573256,True
0.3022440392706872,Historical average,0.425,0.3454457364341085,0.8674803836094158,1957.7771243667496,45.5297005666686,True
0.335548172757475,Historical average,0.4,0.3645833333333333,0.8718395815170009,1966.3563258635,45.7292168805465,True
0.3606658446362515,Historical average,0.35,0.3929263565891472,0.90409764603313,2038.0372558597496,47.39621525255232,True
0.3909090909090909,Historical average,0.325,0.4263565891472868,0.934612031386225,2076.2330535075,48.284489616453484,True
0.3968609865470852,Historical average,0.275,0.4321705426356589,0.9380993897122928,2076.75857982325,48.29671115868023,True
0.4003340757238307,Historical average,0.25,0.4350775193798449,0.93897122929381,2076.78857982325,48.29740883309884,True
0.4322344322344322,Historical average,0.175,0.4629360465116279,0.945945945945946,2097.78282668325,48.7856471321686,True
0.4329681794470527,Historical average,0.15,0.4643895348837209,0.94768962510898,2103.9461600165,48.9289804655,True
0.4741919922817173,Historical average,0.125,0.5021802325581395,0.9503051438535308,2107.67217609825,49.01563200228488,True
0.5437731196054254,Historical average,0.1,0.5893895348837209,0.967741935483871,2151.33140800125,50.03096297677326,True
0.550987505038291,Historical average,0.075,0.6010174418604651,0.9712292938099388,2162.7201070137503,50.29581644218024,True
0.6006446991404012,Historical average,0.05,0.6763565891472868,0.972101133391456,2166.22484385625,50.37732195014535,True
0.0415094339622641,LightGBM,0.95,0.0641957364341085,0.2214472537053182,493.9231551775,11.486585004127909,True
0.053050397877984,LightGBM,0.925,0.0913275193798449,0.3112467306015693,668.32325824425,15.542401354517445,True
0.0739130434782608,LightGBM,0.9,0.1114341085271317,0.3714036617262424,801.1582461417499,18.63158711957558,True
0.0854368932038835,LightGBM,0.875,0.1247577519379845,0.4106364428945074,918.45705870275,21.359466481459304,True
0.1128205128205128,LightGBM,0.85,0.1417151162790697,0.4524847428073234,1010.286129429,23.4950262657907,True
0.1312217194570135,LightGBM,0.825,0.160610465116279,0.5021795989537925,1161.9049634622502,27.021045661912797,True
0.1390820584144645,LightGBM,0.8,0.1741763565891473,0.5396687009590235,1249.82708812,29.06574623534884,True
0.1398692810457516,LightGBM,0.775,0.1853197674418604,0.5736704446381866,1360.5999923530003,31.64186028727908,True
0.1451814768460575,LightGBM,0.75,0.1935562015503876,0.5954664341761116,1416.30106669675,32.93723410922674,True
0.145631067961165,LightGBM,0.725,0.1996124031007752,0.6137750653879687,1475.67883231125,34.3181123793314,True
0.1557846506300114,LightGBM,0.7,0.2114825581395348,0.6425457715780296,1545.11880986375,35.932995578226745,True
0.165929203539823,LightGBM,0.675,0.2189922480620155,0.6573670444638187,1565.7467947712505,36.41271615747094,True
0.1684901531728665,LightGBM,0.65,0.2214147286821705,0.6625980819529207,1571.4501281050002,36.54535181639535,True
0.1755888650963597,LightGBM,0.625,0.2262596899224806,0.6713164777680907,1592.78997825125,37.04162740119186,True
